No Revisions Needed,No Revision Email Sent,Revisions Needed,Revision Email Sent,Revisions Recieved,Revisions Incorporated,grant_id,grantee_name,Grantee First Name,Grantee Last Name,Grantee Email,FPO Name,FPO Email,gpra_1a_target_y2,gpra_1a_actual_y2,gpra_1b_target_y2,gpra_1b_actual_y2,gpra_2a_target_y2,gpra_2a_actual_y2,gpra_2b_target_y2,gpra_2b_actual_y2,gpra_3a_target_y2,gpra_3a_actual_y2,gpra_3b_target_y2,gpra_3b_actual_y2,Revisions Needed?,Revision Data Needed,Has the Executive Summary been included?,GPRA 1 Explanation of Progress,GPRA 2 Explanation of Progress,GPRA 3 Explanation of Progress,What revisions do this grantee require?,Modified By,Modified,meeting_targets
1.0,1.0,,,,,S184X99001071,Rivergate College,Sage,Anderson,sage.anderson@example.edu,"Rivera, Dana",dana.rivera@agency.gov,6.0,5.0,10.0,11.0,6.0,7.0,6.0,5.0,6.0,3.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Dana Rivera,2025-06-02 07:04:19,3
1.0,1.0,,,,,S184X99001072,Stonecrest University,Blake,Taylor,blake.taylor@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,0.0,1.0,13.0,13.0,13.0,12.0,13.0,1.0,3.0,1.0,3.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Chris Nguyen,2025-06-02 07:04:19,2
1.0,1.0,,,,,S184X99001073,Tidewater College,Hayden,Thomas,hayden.thomas@example.edu,"Patel, Sam",sam.patel@agency.gov,44.0,23.0,44.0,55.0,44.0,46.0,44.0,23.0,15.0,16.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Sam Patel,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001074,Upperfield University,Cameron,Jackson,cameron.jackson@example.edu,"Kim, Terry",terry.kim@agency.gov,15.0,15.0,23.0,23.0,13.0,14.0,6.0,7.0,8.0,8.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",none,Terry Kim,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001075,Vantage College,Peyton,White,peyton.white@example.edu,"Chen, Pat",pat.chen@agency.gov,16.0,9.0,16.0,16.0,16.0,16.0,16.0,9.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",none,Pat Chen,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001076,Westmoor University,Sydney,Harris,sydney.harris@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,10.0,0.0,10.0,11.0,10.0,17.0,10.0,1.0,10.0,8.0,5.0,3.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",none,Jamie Martinez,2025-06-02 07:04:19,2
1.0,1.0,,,,,S184X99001077,Xanadu College,Harper,Martin,harper.martin@example.edu,"Robinson, Robin",robin.robinson@agency.gov,8.0,9.0,8.0,7.0,8.0,7.0,8.0,9.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",none,Robin Robinson,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001078,Yellowstone University,Emerson,Thompson,emerson.thompson@example.edu,"Clark, Jesse",jesse.clark@agency.gov,15.0,11.0,25.0,31.0,10.0,10.0,5.0,5.0,8.0,10.0,8.0,10.0,No,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",none,Jesse Clark,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001079,Zion College,Logan,Lee,logan.lee@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,6.0,6.0,8.0,8.0,8.0,8.0,6.0,6.0,4.0,2.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",none,Kendall Lewis,2025-06-02 07:04:19,5
1.0,1.0,,,,,S184X99001080,Arcadia University,Finley,Walker,finley.walker@example.edu,"Young, Skyler",skyler.young@agency.gov,10.0,11.0,18.0,20.0,13.0,13.0,10.0,11.0,3.0,2.0,5.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",none,Skyler Young,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001081,Birchwood College,Alex,Smith,alex.smith@example.edu,"Rivera, Dana",dana.rivera@agency.gov,10.0,8.0,10.0,19.0,10.0,13.0,10.0,8.0,10.0,8.0,10.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",none,Dana Rivera,2025-06-02 07:04:19,2
1.0,1.0,,,,,S184X99001082,Coldspring University,Jordan,Johnson,jordan.johnson@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,30.0,0.0,30.0,27.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",none,Chris Nguyen,2025-06-02 07:04:19,3
1.0,1.0,,,,,S184X99001083,Dawnfield College,Morgan,Williams,morgan.williams@example.edu,"Patel, Sam",sam.patel@agency.gov,12.0,263.0,12.0,77.0,44.0,73.0,44.0,52.0,12.0,28.0,12.0,46.0,No,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",none,Sam Patel,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001084,Edgewood University,Taylor,Brown,taylor.brown@example.edu,"Kim, Terry",terry.kim@agency.gov,4.0,1.0,4.0,8.0,4.0,6.0,4.0,2.0,4.0,2.0,4.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",none,Terry Kim,2025-06-02 07:04:19,2
1.0,1.0,,,,,S184X99001085,Fireside College,Casey,Jones,casey.jones@example.edu,"Chen, Pat",pat.chen@agency.gov,0.0,0.0,6.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","No, does include information on successes or challenges.",none,Pat Chen,2025-06-02 07:04:19,6
1.0,1.0,,,,,S184X99001086,Greyfield University,Riley,Garcia,riley.garcia@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,20.0,13.0,20.0,24.0,20.0,24.0,20.0,13.0,20.0,10.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",none,Jamie Martinez,2025-06-02 07:04:19,3
1.0,1.0,,,,,S184X99001087,Harrowgate College,Avery,Miller,avery.miller@example.edu,"Robinson, Robin",robin.robinson@agency.gov,12.0,3.0,24.0,18.0,12.0,9.0,12.0,3.0,0.0,2.0,0.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",none,Robin Robinson,2025-06-02 07:04:19,2
1.0,1.0,,,,,S184X99001088,Ironclad University,Quinn,Davis,quinn.davis@example.edu,"Clark, Jesse",jesse.clark@agency.gov,0.0,3.0,15.0,15.0,10.0,7.0,0.0,3.0,5.0,2.0,0.0,1.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",none,Jesse Clark,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001089,Jadeview College,Drew,Wilson,drew.wilson@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Kendall Lewis,2025-06-02 07:04:19,4
1.0,1.0,,,,,S184X99001090,Knollwood University,Reese,Moore,reese.moore@example.edu,"Young, Skyler",skyler.young@agency.gov,5.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,2.0,2.0,No,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",none,Skyler Young,2025-06-02 07:04:19,5
,,1.0,1.0,1.0,1.0,S184X99001091,Laurelwood College,Sage,Anderson,sage.anderson@example.edu,"Rivera, Dana",dana.rivera@agency.gov,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes information on the nature of practicum/internship experiences.","No, does include information on successes or challenges.","GPRAs 1b, 2b, and 3b are missing",Dana Rivera,2025-06-06 09:59:26,6
,,1.0,1.0,1.0,1.0,S184X99001092,Midland University,Blake,Taylor,blake.taylor@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,0.0,1.0,12.0,10.0,12.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,Yes,,Yes,"Yes, includes both.","Yes, includes both.","No, does include information on successes or challenges.",Missing EOP for GPRA 3,Chris Nguyen,2025-06-13 08:25:13,4
,,1.0,1.0,1.0,1.0,S184X99001093,Northgate College,Hayden,Thomas,hayden.thomas@example.edu,"Patel, Sam",sam.patel@agency.gov,0.0,0.0,5.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,"Yes, includes information on successes and/or challenges.","Yes, includes both.","Yes, includes information on successes or challenges.",GPRA 1B and 3B missing,Sam Patel,2025-06-04 04:55:06,6
,,1.0,1.0,1.0,1.0,S184X99001094,Oldfield University,Cameron,Jackson,cameron.jackson@example.edu,"Kim, Terry",terry.kim@agency.gov,6.0,6.0,2.0,2.0,2.0,2.0,6.0,6.0,2.0,2.0,0.0,0.0,Yes,,No,"Yes, includes information on successes and/or challenges.","Yes, includes information on successes and/or challenges.","Yes, includes information on successes or challenges.","Missing GPRA 1b, 2b, 3b; EOPs are slim; Executive Summary is very short",Terry Kim,2025-06-05 09:15:34,6
,,1.0,1.0,1.0,1.0,S184X99001095,Pebblebrook College,Peyton,White,peyton.white@example.edu,"Chen, Pat",pat.chen@agency.gov,7.0,7.0,15.0,15.0,11.0,11.0,24.0,3.0,10.0,7.0,3.0,2.0,Yes,,No,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",Executive Summary needed,Pat Chen,2025-06-13 08:25:13,3
,,1.0,1.0,1.0,1.0,S184X99001096,Quailridge University,Sydney,Harris,sydney.harris@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,7.0,20.0,5.0,12.0,10.0,12.0,10.0,20.0,5.0,6.0,10.0,12.0,Yes,,Yes,"No, includes neither.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.","For all GPRAs, the GPRA descriptions need to be added for both ""a"" and ""b"" options, and then those specific numbers reported. All explanations of progress need to be checked then once data are placed in tables to ensure alignment.",Jamie Martinez,2025-06-07 03:35:15,6
,,1.0,1.0,1.0,1.0,S184X99001097,Rowanfield College,Harper,Martin,harper.martin@example.edu,"Robinson, Robin",robin.robinson@agency.gov,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,,,,Robin Robinson,2025-06-05 09:27:48,6
,,1.0,1.0,1.0,1.0,S184X99001098,Silverbrook University,Emerson,Thompson,emerson.thompson@example.edu,"Clark, Jesse",jesse.clark@agency.gov,7.0,10.0,20.0,23.0,7.0,6.0,20.0,23.0,2.0,2.0,2.0,2.0,Yes,"Need raw numbers for ""Target"" data (not percentages) for GPRA 1a, 1b, 2a, 2b, 3a, 3b. The raw numbers for the ""Actual Performance"" data appears correct.",Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",,Jesse Clark,2025-06-06 08:47:40,5
,,1.0,1.0,1.0,1.0,S184X99001099,Thornwood College,Logan,Lee,logan.lee@example.edu,"Lewis, Kendall",kendall.lewis@agency.gov,10.0,13.0,20.0,23.0,10.0,16.0,20.0,28.0,10.0,13.0,5.0,11.0,Yes,"Clarification on missing target raw numbers for GPRA 1a,1b, 2a, 2b, 3a, 3b. Are the targets meant to be ""0"" since ""999"" is listed in the tables?",Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.","Yes, includes both.",Kendall Lewis,2025-06-06 08:55:56,6
,,1.0,1.0,1.0,1.0,S184X99001100,Underwood University,Finley,Walker,finley.walker@example.edu,"Young, Skyler",skyler.young@agency.gov,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,"Clarification needed on the target raw numbers for 1a,1b,2a,2b,3a,3b. Are these targets for the entirety of the grant or for 2024 year only? The report is for Jan-Dec 2024. If so, submit revised target numbers for 2024- even if the number is ""0"" due to the timeline of the specific measure. Refer to the guidance document for information.",Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",brewergordon@wisc.edu,Skyler Young,2025-06-10 09:19:21,6
,,1.0,1.0,1.0,1.0,S184X99001101,Vistapeak College,Alex,Smith,alex.smith@example.edu,"Rivera, Dana",dana.rivera@agency.gov,0.0,0.0,4.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,"No, includes neither.","Yes, includes information on the nature of practicum/internship experiences.","No, does include information on successes or challenges.","Clarify GPRAs 1A, 1B, 2A, and 2B. Provide/revise explanation of summary.",Dana Rivera,2025-06-13 08:25:13,6
,,1.0,1.0,1.0,1.0,S184X99001102,Whitewater University,Jordan,Johnson,jordan.johnson@example.edu,"Nguyen, Chris",chris.nguyen@agency.gov,6.0,6.0,8.0,10.0,8.0,9.0,6.0,6.0,6.0,7.0,0.0,1.0,Yes,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",GPRAs 1b and GPRA 2b are missing.,Chris Nguyen,2025-06-16 12:07:08,6
,,1.0,1.0,1.0,1.0,S184X99001103,Xenwood College,Morgan,Williams,morgan.williams@example.edu,"Patel, Sam",sam.patel@agency.gov,10.0,11.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.","Missing B for GPRAs (0 inferred based on explanation, but not reported)",Sam Patel,2025-06-16 12:16:52,6
,,1.0,1.0,1.0,1.0,S184X99001104,Yarrow University,Taylor,Brown,taylor.brown@example.edu,"Kim, Terry",terry.kim@agency.gov,0.0,0.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,"Yes, includes information on the nature of training being provided.","Yes, includes information on the nature of practicum/internship experiences.","Yes, includes information on successes or challenges.",GPRA 2b. Table and data need to be added. GPRA 3b. Table and data need to be added.,Terry Kim,2025-06-17 09:26:29,6
,,1.0,1.0,1.0,1.0,S184X99001105,Zebrawood College,Casey,Jones,casey.jones@example.edu,"Chen, Pat",pat.chen@agency.gov,7.0,6.0,7.0,8.0,7.0,8.0,7.0,6.0,7.0,0.0,0.0,0.0,No,,,,,,,Pat Chen,2025-06-18 07:42:14,3
,,1.0,1.0,1.0,1.0,S184X99001106,Alderton University,Riley,Garcia,riley.garcia@example.edu,"Martinez, Jamie",jamie.martinez@agency.gov,16.0,16.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,Jamie Martinez,2025-06-19 06:14:53,6
,,1.0,1.0,1.0,1.0,S184X99001107,Brickfield College,Avery,Miller,avery.miller@example.edu,"Robinson, Robin",robin.robinson@agency.gov,2.0,2.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,Yes,,Yes,"Yes, includes both.","Yes, includes both.","Yes, includes information on successes or challenges.",GPRA 1 - clarify target and actual for a/b (table and EOP are different); GPRA 2 clarify a and b; GPRA 3b is missing in table and EOP,Robin Robinson,2025-06-20 06:36:29,6
